                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8522,                 5.4406,                 2.2657,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                  0.082,                  0.002,                  0.002
                      1,                  2.626,                 5.4261,                 2.1285,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.062897,               0.003897,               0.003897
                      2,                 2.2666,                 4.9318,                 1.8051,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.043586,              0.0055862,              0.0055862
                      3,                 2.4381,                 4.9885,                  1.928,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.024067,              0.0070674,              0.0070674
                      4,                 2.2935,                 4.7381,                 1.7945,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                      5,                  2.252,                 4.7171,                  1.749,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                      6,                 2.1378,                 4.0898,                 1.6079,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.007525,               0.007525,               0.007525
                      7,                 2.1129,                 3.9966,                 1.6101,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                      8,                 2.0994,                 4.3372,                 1.6617,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                      9,                  1.975,                 3.8419,                 1.5927,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     10,                  2.003,                 3.7139,                 1.5626,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     11,                 2.0044,                  3.908,                 1.5869,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                     12,                 1.9518,                 3.4959,                 1.5401,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.004555,               0.004555,               0.004555
                     13,                 1.9559,                 3.5711,                 1.5256,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                     14,                 1.9856,                 3.5232,                 1.5822,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.003565,               0.003565,               0.003565
                     15,                 1.9199,                  3.444,                 1.5011,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                     16,                 1.8985,                 3.3161,                 1.5091,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.002575,               0.002575,               0.002575
                     17,                 1.8107,                 3.4041,                 1.4736,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     18,                 1.7501,                 3.2044,                 1.4402,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.001585,               0.001585,               0.001585
                     19,                 1.8079,                 3.1968,                 1.4279,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.00109,                0.00109,                0.00109
