                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6603,                 4.5984,                 1.9541,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                 0.0892,                 0.0012,                 0.0012
                      1,                 2.2443,                 4.3547,                 1.6518,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.077376,              0.0023762,              0.0023762
                      2,                 2.0786,                 3.9974,                 1.5592,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.065424,              0.0034238,              0.0034238
                      3,                 1.9608,                 3.5694,                 1.4537,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.053343,              0.0043426,              0.0043426
                      4,                 1.9433,                 3.4121,                 1.3766,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.041133,              0.0051328,              0.0051328
                      5,                 1.9335,                 3.3489,                 1.3813,                    0.2,                   0.01,                  0.105,                  0.042,                    nan,                    nan,                    nan,               0.028794,              0.0057942,              0.0057942
                      6,                 1.8742,                 2.9503,                   1.31,                0.10462,                0.11161,                0.09894,                0.04541,                    nan,                    nan,                    nan,               0.016327,               0.006327,               0.006327
                      7,                 1.8695,                 2.9715,                 1.3504,                0.04511,                0.27696,                0.11117,                0.03881,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                      8,                 2.0549,                 2.9998,                 1.3736,                0.04511,                0.27696,                0.11117,                0.03881,                    nan,                    nan,                    nan,               0.006535,               0.006535,               0.006535
                      9,                 1.8378,                  2.814,                 1.3019,                0.63444,                0.06452,                0.10232,                0.04326,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     10,                   1.72,                 2.5339,                 1.2736,                0.70706,                0.12958,                0.13193,                0.04872,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     11,                 1.6341,                 2.3991,                 1.1986,                0.58985,                0.19654,                0.14446,                0.05884,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                     12,                 1.6874,                  2.534,                 1.2556,                0.60085,                0.19063,                0.14157,                0.05794,                    nan,                    nan,                    nan,               0.004555,               0.004555,               0.004555
                     13,                 1.6844,                 2.3956,                 1.2507,                0.45493,                0.10173,                 0.1185,                0.05176,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                     14,                 1.6001,                 2.2926,                 1.2406,                0.45493,                0.10173,                 0.1185,                0.05176,                    nan,                    nan,                    nan,               0.003565,               0.003565,               0.003565
                     15,                 1.5083,                 2.2155,                 1.1803,                0.38955,                0.19072,                0.15763,                0.07316,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                     16,                 1.4808,                 2.1876,                 1.1851,                0.44086,                0.14221,                0.15246,                0.06591,                    nan,                    nan,                    nan,               0.002575,               0.002575,               0.002575
                     17,                 1.5663,                 2.3266,                 1.2139,                0.41871,                0.15171,                0.14314,                 0.0676,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     18,                 1.4944,                 2.2205,                 1.2294,                0.49801,                0.11599,                0.16482,                0.07577,                    nan,                    nan,                    nan,               0.001585,               0.001585,               0.001585
                     19,                 1.4995,                 2.1058,                 1.1673,                0.49801,                0.11599,                0.16482,                0.07577,                    nan,                    nan,                    nan,                0.00109,                0.00109,                0.00109
