                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9781,                 3.3771,                 1.5765,                0.94684,                0.45455,                0.45385,                0.29272,                 1.4449,                 2.0862,                 1.1757,               0.070366,              0.0032927,              0.0032927
                      1,                  1.374,                 1.7613,                 1.1702,                0.80178,                0.69405,                0.77467,                0.46803,                 1.2712,                 1.2374,                 1.1199,               0.040038,               0.006298,               0.006298
                      2,                 1.3061,                   1.58,                 1.1365,                0.82376,                 0.7509,                0.81916,                0.46786,                 1.2744,                 1.3053,                 1.0993,              0.0093799,              0.0089734,              0.0089734
                      3,                  1.244,                 1.3774,                 1.1102,                0.81705,                0.79692,                0.84436,                0.49609,                 1.2143,                 1.3694,                 1.1424,               0.008515,               0.008515,               0.008515
                      4,                 1.1653,                 1.3502,                 1.0966,                0.83018,                0.86957,                0.88033,                0.57173,                 1.0152,                 1.1461,                 1.0593,               0.008515,               0.008515,               0.008515
                      5,                  1.084,                  1.176,                 1.0698,                0.89302,                0.82166,                 0.8996,                0.59006,                 1.0685,                0.96924,                 1.1219,                0.00802,                0.00802,                0.00802
                      6,                 1.0327,                 1.1207,                 1.0602,                0.87699,                0.81926,                0.91551,                0.65011,                0.96426,                0.99076,                 1.0551,               0.007525,               0.007525,               0.007525
                      7,                0.99008,                 1.0518,                 1.0268,                0.90942,                0.83734,                0.92829,                0.67017,                0.89274,                0.83069,                 1.0459,                0.00703,                0.00703,                0.00703
                      8,                0.94535,                 0.9517,                 1.0206,                0.91805,                0.87447,                0.93992,                0.63891,                0.96166,                0.75873,                 1.0562,               0.006535,               0.006535,               0.006535
                      9,                0.91539,                0.90191,                 1.0015,                0.89377,                0.90664,                0.93971,                0.67471,                0.93932,                0.75863,                  1.057,                0.00604,                0.00604,                0.00604
                     10,                0.82479,                 1.0063,                0.95984,                0.88816,                0.91141,                0.93576,                0.69884,                0.86683,                   0.77,                 1.0462,               0.005545,               0.005545,               0.005545
                     11,                0.79756,                0.92115,                 0.9516,                0.92966,                0.86926,                0.93069,                0.67902,                0.84253,                 0.7055,                 1.0374,                0.00505,                0.00505,                0.00505
                     12,                0.79257,                0.86872,                0.95123,                0.91081,                0.84361,                0.91162,                0.64104,                0.91578,                0.74943,                  1.084,               0.004555,               0.004555,               0.004555
                     13,                0.75619,                0.81593,                 0.9406,                0.88265,                0.88928,                0.91073,                0.66656,                   0.82,                0.65693,                  1.035,                0.00406,                0.00406,                0.00406
                     14,                0.72938,                0.79121,                0.94233,                0.94525,                0.88777,                0.94706,                0.70422,                0.77738,                0.63629,                 1.0076,               0.003565,               0.003565,               0.003565
                     15,                 0.6935,                0.75337,                0.92125,                0.94767,                0.91429,                0.94895,                0.70273,                0.76329,                 0.6042,                 1.0152,                0.00307,                0.00307,                0.00307
                     16,                0.67044,                0.72048,                0.91848,                0.95771,                0.92684,                0.95233,                0.73343,                0.72851,                0.59214,                0.99493,               0.002575,               0.002575,               0.002575
                     17,                0.65765,                0.69626,                0.91393,                0.96226,                0.88328,                0.95045,                0.73204,                0.71047,                0.57631,                0.98473,                0.00208,                0.00208,                0.00208
                     18,                0.62606,                0.65954,                0.89635,                0.93595,                0.91244,                0.94819,                0.73913,                 0.6684,                0.53481,                0.97494,               0.001585,               0.001585,               0.001585
                     19,                0.59697,                0.63615,                0.89369,                0.94382,                0.91139,                0.95433,                0.74788,                0.66201,                0.51979,                0.97298,                0.00109,                0.00109,                0.00109
