                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8587,                 4.9339,                 2.1586,                0.00032,                0.00301,                0.00016,                  2e-05,                    nan,                    nan,                    nan,                  0.091,                  0.001,                  0.001
                      1,                 2.5599,                 4.7205,                 1.9175,                0.00096,                0.00904,                 0.0005,                 0.0003,                    nan,                    nan,                    nan,               0.080996,               0.001996,               0.001996
                      2,                 2.3284,                 4.5324,                 1.7614,                0.00137,                0.01205,                 0.0009,                0.00059,                    nan,                    nan,                    nan,               0.070883,              0.0028832,              0.0028832
                      3,                 2.2655,                 4.1227,                 1.6539,                0.00275,                0.02006,                 0.0017,                0.00099,                    nan,                    nan,                    nan,               0.060661,              0.0036614,              0.0036614
                      4,                  2.172,                 3.7231,                 1.5356,                 0.0034,                0.02205,                0.00199,                0.00103,                    nan,                    nan,                    nan,               0.050331,              0.0043308,              0.0043308
                      5,                 2.0713,                 3.5217,                 1.5049,                0.00517,                0.03307,                0.00316,                0.00188,                    nan,                    nan,                    nan,               0.039891,              0.0048912,              0.0048912
                      6,                 2.1427,                 3.5655,                 1.4909,                0.01316,                0.08024,                0.01024,                0.00548,                    nan,                    nan,                    nan,               0.029343,              0.0053428,              0.0053428
                      7,                 2.0975,                 3.2499,                  1.471,                0.02318,                0.19742,                0.07221,                0.04384,                    nan,                    nan,                    nan,               0.018685,              0.0056854,              0.0056854
                      8,                 2.0381,                  3.215,                 1.4493,                0.02318,                0.19742,                0.07221,                0.04384,                    nan,                    nan,                    nan,              0.0079192,              0.0059192,              0.0059192
                      9,                 1.8867,                  2.973,                 1.3925,                0.68243,                0.05082,                0.08699,                0.04233,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     10,                 1.8934,                 3.0544,                 1.3598,                0.28406,                0.25289,                0.05844,                  0.035,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     11,                 2.0025,                 3.0175,                  1.396,                0.28406,                0.25289,                0.05844,                  0.035,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                     12,                 1.8245,                 2.5995,                 1.3163,                 0.3445,                0.11534,                0.06327,                0.03337,                    nan,                    nan,                    nan,               0.004555,               0.004555,               0.004555
                     13,                 1.8467,                  2.764,                 1.3021,                0.32376,                0.12754,                0.06756,                0.04346,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                     14,                 1.8731,                 2.8108,                 1.3297,                0.32376,                0.12754,                0.06756,                0.04346,                    nan,                    nan,                    nan,               0.003565,               0.003565,               0.003565
                     15,                 1.7698,                 2.5551,                 1.2837,                0.33904,                0.17523,                0.09885,                0.06089,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                     16,                 1.7596,                 2.5849,                 1.3123,                0.35497,                0.16522,                0.10211,                0.06196,                    nan,                    nan,                    nan,               0.002575,               0.002575,               0.002575
                     17,                 1.8257,                 2.8207,                 1.3542,                0.36555,                0.17043,                 0.1025,                 0.0594,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     18,                 1.6798,                 2.5092,                 1.2815,                0.36555,                0.17043,                 0.1025,                 0.0594,                    nan,                    nan,                    nan,               0.001585,               0.001585,               0.001585
                     19,                 1.6219,                 2.4473,                 1.2867,                0.40731,                0.16824,                0.12078,                0.07093,                    nan,                    nan,                    nan,                0.00109,                0.00109,                0.00109
