                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   1.75,                 1.5397,                 1.0153,                0.57633,                0.36872,                0.40249,                 0.2368,                 1.6692,                 1.1678,                 1.0142,               0.070038,              0.0033291,              0.0033291
                      1,                 1.5591,                 1.0312,                0.94526,                0.89703,                0.39373,                0.43914,                0.26625,                 1.5614,                 1.0207,                0.97937,               0.039708,              0.0063327,              0.0063327
                      2,                 1.5182,                0.95147,                0.93284,                0.53479,                0.42196,                0.45737,                0.27615,                 1.5474,                0.99697,                0.96807,              0.0090483,              0.0090062,              0.0090062
                      3,                 1.4305,                0.87282,                0.91331,                0.78104,                0.43366,                0.47704,                0.29789,                 1.4495,                0.90902,                0.94401,               0.008515,               0.008515,               0.008515
                      4,                 1.3594,                0.80997,                0.89934,                  0.753,                0.44922,                0.48661,                0.31006,                 1.4052,                0.85695,                 0.9315,               0.008515,               0.008515,               0.008515
                      5,                 1.3017,                0.76765,                0.88789,                0.61491,                0.46687,                0.50074,                0.31679,                 1.3991,                0.84693,                0.92951,                0.00802,                0.00802,                0.00802
                      6,                 1.2593,                0.73735,                0.88018,                0.59778,                0.47312,                0.50418,                0.32884,                 1.3516,                0.81444,                0.91763,               0.007525,               0.007525,               0.007525
                      7,                 1.2226,                0.71415,                0.87404,                0.70364,                0.47374,                0.51636,                0.33727,                 1.3415,                0.80796,                0.91455,                0.00703,                0.00703,                0.00703
                      8,                 1.1917,                0.69271,                0.86855,                0.61544,                0.48318,                0.51526,                0.33838,                 1.3208,                0.78504,                0.90977,               0.006535,               0.006535,               0.006535
                      9,                 1.1665,                0.67724,                0.86434,                0.63381,                0.48875,                 0.5204,                0.34668,                 1.2981,                  0.775,                0.90544,                0.00604,                0.00604,                0.00604
                     10,                 1.1458,                0.66445,                0.86109,                 0.6384,                0.49362,                0.52615,                0.35332,                 1.2767,                 0.7615,                 0.9006,               0.005545,               0.005545,               0.005545
                     11,                 1.1226,                0.65188,                0.85736,                0.63909,                0.49649,                0.52939,                0.35453,                 1.2671,                  0.748,                0.89738,                0.00505,                0.00505,                0.00505
                     12,                  1.103,                0.63963,                0.85454,                0.64439,                0.50268,                0.53269,                 0.3595,                 1.2613,                0.74323,                0.89637,               0.004555,               0.004555,               0.004555
                     13,                 1.0833,                 0.6295,                0.85177,                0.65805,                0.50737,                 0.5354,                0.36508,                 1.2542,                0.73568,                0.89231,                0.00406,                0.00406,                0.00406
                     14,                 1.0645,                0.61918,                0.84936,                0.65403,                0.50889,                0.53861,                0.36704,                 1.2284,                0.72459,                0.88889,               0.003565,               0.003565,               0.003565
                     15,                 1.0543,                0.61298,                0.84621,                0.67032,                0.50544,                 0.5386,                0.36805,                  1.228,                0.72387,                0.88905,                0.00307,                0.00307,                0.00307
                     16,                 1.0368,                0.60401,                 0.8447,                0.66963,                0.51152,                0.54119,                0.37177,                 1.2088,                0.71244,                 0.8858,               0.002575,               0.002575,               0.002575
                     17,                 1.0252,                 0.5976,                0.84259,                0.66813,                0.51277,                0.54369,                0.37376,                 1.2008,                0.70929,                0.88366,                0.00208,                0.00208,                0.00208
                     18,                 1.0138,                0.59173,                0.84136,                0.70126,                0.51146,                0.54532,                0.37727,                 1.1981,                0.70325,                0.88249,               0.001585,               0.001585,               0.001585
