                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4229,                 1.5068,                 1.1032,                0.70179,                0.43287,                0.48638,                0.31275,                 1.3649,                 1.1268,                 1.1119,               0.070049,              0.0033279,              0.0033279
                      1,                 1.2042,                0.90605,                0.98671,                0.71325,                0.49166,                0.54003,                0.33968,                  1.409,                0.99761,                 1.1096,               0.039719,              0.0063315,              0.0063315
                      2,                 1.1584,                 0.8213,                0.96733,                0.68556,                0.57046,                0.59117,                0.39724,                 1.1757,                0.84861,                 1.0354,              0.0090593,              0.0090051,              0.0090051
                      3,                  1.089,                0.74352,                0.94546,                0.71744,                0.60403,                0.63154,                0.41617,                 1.1637,                0.77953,                 1.0235,               0.008515,               0.008515,               0.008515
                      4,                  1.027,                0.68721,                0.92904,                0.72115,                0.61513,                0.63391,                0.42558,                 1.1356,                0.75166,                 1.0127,               0.008515,               0.008515,               0.008515
                      5,                0.97453,                0.64313,                0.91377,                0.72743,                0.63062,                0.65403,                 0.4432,                 1.0837,                0.70947,                 1.0033,                0.00802,                0.00802,                0.00802
                      6,                0.94364,                 0.6153,                0.90465,                0.75047,                0.63607,                 0.6607,                0.45778,                 1.0379,                0.69225,                0.98176,               0.007525,               0.007525,               0.007525
                      7,                 0.9136,                0.59133,                0.89748,                0.77814,                0.65522,                0.68297,                0.46863,                 1.0481,                0.65877,                0.98725,                0.00703,                0.00703,                0.00703
                      8,                0.88661,                0.57251,                0.88956,                0.77587,                0.65142,                 0.6827,                0.46388,                 1.0584,                0.65642,                0.98998,               0.006535,               0.006535,               0.006535
                      9,                0.87065,                0.56035,                0.88537,                 0.7715,                0.66193,                0.69835,                0.48518,                 1.0315,                0.63366,                0.98041,                0.00604,                0.00604,                0.00604
                     10,                0.85049,                0.54701,                0.88061,                0.78198,                0.66413,                0.69716,                 0.4888,                  1.002,                0.61849,                0.97119,               0.005545,               0.005545,               0.005545
                     11,                0.82889,                0.53377,                0.87621,                0.79424,                0.66488,                0.70036,                0.49046,                 1.0063,                0.61253,                0.97013,                0.00505,                0.00505,                0.00505
                     12,                0.81623,                0.52437,                 0.8729,                0.79278,                0.67925,                0.70784,                0.50316,                0.99808,                0.60879,                0.97108,               0.004555,               0.004555,               0.004555
                     13,                0.80232,                0.51556,                0.86996,                 0.7806,                 0.6869,                0.71046,                0.50399,                0.97722,                0.59156,                0.96378,                0.00406,                0.00406,                0.00406
                     14,                0.78686,                0.50593,                0.86806,                0.79303,                0.68536,                0.71573,                0.50953,                0.96371,                0.58267,                0.95808,               0.003565,               0.003565,               0.003565
                     15,                0.77534,                0.49812,                0.86328,                0.78856,                0.68659,                0.71368,                0.50593,                0.96897,                0.58183,                   0.96,                0.00307,                0.00307,                0.00307
                     16,                0.76028,                0.48978,                 0.8617,                0.80057,                0.68978,                0.72044,                0.51289,                0.95682,                0.57535,                0.95581,               0.002575,               0.002575,               0.002575
                     17,                0.74887,                0.48343,                0.85873,                0.80095,                0.68589,                0.71705,                0.50871,                0.96118,                0.57867,                0.95787,                0.00208,                0.00208,                0.00208
                     18,                0.74058,                0.47838,                0.85715,                0.80727,                0.69324,                0.72246,                0.51699,                0.94035,                0.56683,                 0.9531,               0.001585,               0.001585,               0.001585
                     19,                0.72864,                0.47034,                0.85487,                0.80845,                0.69511,                 0.7268,                0.52162,                0.94251,                0.56297,                0.95482,                0.00109,                0.00109,                0.00109
